id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,Month
1012385,comfy stay in clean victorian house,5569906,Mark Anthony,,Mount Pleasant,49.25825,-123.08901,Entire home/apt,71,2,210,2019-04-05,2.9,1,102,01-Apr
1021607,Deluxe Junior One Bedroom (2 Beds),5623565,Hajime,,Downtown,49.27826,-123.12085,Entire home/apt,80,30,89,2019-02-10,1.22,2,224,01-Apr
1021669,Yaletown Deluxe Studio Condominium,5623565,Hajime,,Downtown,49.2787,-123.12732,Entire home/apt,75,30,127,2018-10-10,1.77,2,204,01-Apr
1030205,Beautiful Point Grey Character Home,5668489,David,,Kitsilano,49.26984,-123.1812,Entire home/apt,250,7,76,2018-09-20,1.1,1,128,01-Apr
1030299,Great location!  Gastown/Skytrain,2673805,Keith,,Downtown,49.27843,-123.10725,Entire home/apt,111,90,21,2013-10-13,0.29,2,261,01-Apr
1032892,Artist's Character home in 'hip' Commercial Drive,2378744,Lori,,Grandview-Woodland,49.27093,-123.06289,Private room,95,2,34,2019-03-11,0.47,1,333,01-Apr
1061895,Quiet space minutes from downtown!,5845838,Jenny,,Renfrew-Collingwood,49.24347,-123.04234,Private room,71,2,55,2018-08-30,1.54,1,41,01-Apr
1066613,Modern warm apt - Yaletown,84353,Mike,,Downtown,49.27847,-123.12429,Private room,65,30,21,2016-06-18,0.29,1,30,01-Apr
1096393,Ground Level apartment for 1 person,2456973,Jeanette,,Fairview,49.25818,-123.13185,Entire home/apt,200,30,9,2018-08-31,0.17,7,263,01-Apr
1102797,this is the door to vancouver UNW,981145,Dianne,,Downtown Eastside,49.27881,-123.08014,Private room,67,1,44,2019-03-24,0.83,4,275,01-Apr
1103566,"Modern, Heart of Downtown-3 BR+2Bath+Office+Pkg",6060927,Arin,,Downtown,49.27865,-123.10722,Entire home/apt,349,3,227,2019-03-28,4.53,1,272,01-Apr
1109821,136 Lord Stanley Great price!,600607,Bruce,,West End,49.29193,-123.1364,Entire home/apt,87,30,11,2019-03-23,0.18,50,90,01-Apr
1113551,Family-Friendly Kitsilano House with Mountain Views,5231060,Liz,,Kitsilano,49.26056,-123.15874,Entire home/apt,481,6,30,2019-01-04,0.43,1,255,01-Apr
1115618,This is the door to Vancouver UNE,981145,Dianne,,Downtown Eastside,49.27864,-123.07854,Private room,67,1,27,2019-03-22,0.47,4,281,01-Apr
1118858,*Best choice in downtown-5 Stars *,70137,Kai,,West End,49.28115,-123.13038,Private room,95,3,37,2019-03-23,0.52,3,259,01-Apr
1126273,Yaletown/Downtown  1 Bedroom Condo,254337,Edgar,,Downtown,49.28061,-123.11874,Entire home/apt,99,30,0,,,2,331,01-Apr
1130865,Fabulous Yaletown location,6204357,Tatiana,,Downtown,49.27664,-123.12321,Entire home/apt,160,60,5,2018-08-31,0.07,2,344,01-Apr
1141457,2 Bdrm in Strathcona,6067405,Paige And Grant,,Downtown Eastside,49.27954,-123.08689,Entire home/apt,120,3,234,2019-03-21,3.25,1,196,01-Apr
1162198,Bright & Tidy Character Apartment,6366260,Mary,,Grandview-Woodland,49.27186,-123.06996,Private room,49,30,70,2019-02-24,1.01,1,274,01-Apr
1171867,Live by the beach in Kits Point,1805803,Linda,,Kitsilano,49.27427,-123.14976,Entire home/apt,300,3,60,2018-12-05,0.88,1,17,01-Apr
1178149,Cozy space in East Vancouver,6165412,Sylvia,,Hastings-Sunrise,49.27128,-123.04797,Entire home/apt,71,2,17,2019-04-07,1.88,1,229,01-Apr
1187929,Elegant Main floor House Vancouver,6495937,Janet,,Kensington-Cedar Cottage,49.24931,-123.0704,Entire home/apt,188,3,71,2019-03-31,1.02,1,30,01-Apr
1191143,Beautiful Kitsilano Character home. Great Location,598979,Mary,,Kitsilano,49.26856,-123.17419,Entire home/apt,390,7,11,2018-09-22,0.18,2,31,01-Apr
1209195,Kriszta's Studio,6602654,Kriszta,,Grandview-Woodland,49.27244,-123.06493,Entire home/apt,99,2,265,2019-03-25,3.72,2,92,01-Apr
1213494,Beautiful new home in Mt. Pleasant,6624242,Jonathan And Marie,,Mount Pleasant,49.26198,-123.08556,Entire home/apt,250,5,11,2018-08-26,0.24,2,20,01-Apr
1214617,Cool cozy suite on The Drive,6630357,Divina And Viv,,Grandview-Woodland,49.26589,-123.0677,Entire home/apt,134,3,169,2019-03-31,2.42,1,205,01-Apr
1216428,"Garden Paradise, by Olympic Village",6637800,Edward,,Mount Pleasant,49.26538,-123.09059,Private room,75,3,41,2018-11-12,0.87,1,283,01-Apr
